id,text
1,I didn't know what to wear to my best friend's funeral.
2,There used to be a big cherry tree behind my house.
3,"Sometimes, books and movies made her feel things she couldn't explain."
4,My bandaid wasn't sticky anymore so it fell off on the way to school.
5,He only had one drink but he's completely wasted.
6,"In Hong Kong, everyone lives stacked together."
7,"Her parents had been separated for almost three years, but she never expected them to actually go through with the divorce."
8,These are the things that I want from a relationship.
9,"When one considers the issue from a different perspective, the answer seems to change."
10,She twisted her ankle and couldn't go to soccer anymore.
11,You can always find baked goods somewhere in my pantry.
12,The alligator's teeth were so scary that I ran back to the car as fast as I could.
13,"They sold shampoo and conditioner, but no plain soap."
14,She got a discount to buy the stickers online.
15,"Once you master cooking, you’ll start tweaking popular recipes, and that’s when it becomes even more fun."
16,Checking things off the list is the best feeling.
17,"Let's all just take a moment to breathe, please."
18,"She decided to take the bus because it was supposed to be quicker, but then it ended up being twenty minutes late."
19,She fell off the bull two seconds after she got on.
20,Rosa crossed Mary's name off the list.
21,She couldn't find the basket she was looking for.
22,What he likes best is being around his friends.
23,I found a gold coin on the playground after school today.
24,She sells Christmas trees.
25,Going to a bar is a fun thing to do.
26,She got hiccups and couldn't get rid of them for three hours.
27,Many big projects will be completed in the 21st century.
28,They will be here shortly.
29,The caffeine was making her jittery.
30,"If you go there, you will find him."
31,It’s time to watch TV.
32,They are still edible.
33,I didn’t want to take a side in the argument.
34,Captain America is my favorite Avenger.
35,Get your act together.
36,"Over time, she realized she would never know how to cook."
37,You'll move more than before.
38,He was president from 2008 to 2016.
39,The window looks out on a garden.
40,"The girl wore her hair in two braids, tied with two blue bows."
41,"Looking back, I know it was the right decision."
42,It is going to happen on Friday.
43,You must be happy.
44,I need to clean my room.
45,"I want the stability of a full-time job, but I'm not interested in the rigidity of working nine to five."
46,You have a big house.
47,"She wanted to be a professor when she was in high school, but then she realized how few academic jobs there are on the market."
48,She had a big scar on her knee from falling off her bike as a kid.
49,They may come in handy one day.
50,A wet road is usually slippery.
51,"She wanted to get gastric bypass surgery, but her insurance wouldn't cover it."
52,"Imagine I am deciding if I like some new, heretofore untasted food."
53,He earned his PhD in physics at the age of 89.
54,"In Australia, there is a store called PieFace which sells meat pies with smiley faces on them."
55,Don't go there.
56,They make wonderful walking buddies.
57,The church was white and brown and looked very old.
58,"Watch out, there's quicksand."
59,She likes to play soccer.
60,I will open the door.
61,I will have a baby in the near future.
62,That was the president on the phone.
63,"Well, that's a big surprise."
64,Every year Americans pay half a trillion in rent.
65,You have a beautiful home.
66,"I started drinking when I was sixteen, but I'm European."
67,I wish I had never gone surfing that day.
68,The professor marked down one point for every use of the word 'interesting' in a paper.
69,I won’t believe it unless I see it with my own eyes.
70,"She always worried that sings would embarrass themselves, because if she was in front of a crowd she would always be worried about embarrassing herself."
71,I don't want to drink alcohol.
72,It was so cold that no one wanted to go outside.
73,The wind was so strong it swept her hat right away.
74,I don't think I liked the movie.
75,It's been three months and his stab wound hasn't healed yet.
76,The fan is blowing in my face right now.
77,The footballers were very upset when they cancelled the game because of lightning threats.
78,Elizabeth is traveling all around the country to hear directly from people like you.
79,I'm always on time.
80,The contents of the box are listed on the label.
81,My pen broke and leaked blue ink all over my new dress.
82,Historical sites are awesome to walk through.
83,"I love bacon, eggs, and orange juice for breakfast."
84,Big Brother is watching.
85,"Pluto may not be a planet anymore, but it's a planet in my heart."
86,My biggest problem is deciding what to do next.
87,Tom asked me if he was invited to the party.
88,Her dream is to visit Paris.
89,There are eggs in the nest.
90,My shoes are blue with yellow stripes and green stars on the front.
91,He’s as proud as a peacock.
92,You'd better look before you jump.
93,I'm cutting down on sweets.
94,I have a friend whose father is the captain of a big ship.
95,Somebody help me.
96,Go sit on the roof.
